experimentID; Дата; температура платы, °С; позиция ЗИ (датч.), ед. ПНВ; позиция ОИ (датч.), ед. ПНВ; позиция ЗИ №2 (датч.), ед. ПНВ; уровень (датч.), мм; позиция ЗИ (комп.), ед. ПНВ; позиция ОИ (комп.), ед. ПНВ; позиция ЗИ №2 (комп.), ед. ПНВ; уровень (комп.), мм; 
33; 24.07.13 10:06:35; 29.1; 220.345; 517.181; 3525.399; 6647.388; 220.345450251889; 517.181758130081; 3525.39960642317; 6647.38787628848; 
33; 24.07.13 10:06:41; 29.2; 220.426; 517.188; 3525.482; 6645.707; 220.425078914141; 517.188363821138; 3525.48180520305; 6645.72673185246; 
33; 24.07.13 10:06:48; 29.2; 220.457; 517.24; 3525.507; 6646.201; 220.457050879397; 517.240599593496; 3525.50735759494; 6646.19931744663; 
33; 24.07.13 10:06:54; 29.2; 220.46; 517.231; 3525.525; 6645.869; 220.461000631313; 517.23125; 3525.52545886076; 6645.86891823067; 
